Descrizione,Listino 4 (ivato),Produttore,Cod. Fornitore,Categoria,Internet,Note,images
BATTI E VAI F4,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/testine-a-filo/skaf4-0710bl,"CodiceSKAF4-0710BL
Diametro4""
Capacità⦰ 2,4 x 2,5
Compatibilità20∼40 cc",
B5 BATTI E VAI,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/testine-a-filo/skab5-10125bl,"CodiceSKAB5-10125BL
Diametro 5""
Capacità⦰ 2,4 x 6,5 m
Compatibilità25∼40 cc",
,,,,,,,
BATTI E VAI B5,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/testine-a-filo/skab5-08125bl,"CodiceSKAB5-08125BL
Diametro5""
Capacità⦰ 2,4 x 6,5 m
Compatibilità25∼40 cc",
TESTINA SPEED FEED 450,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/testine-a-filo/ska2882008001,"CodiceSKA2882008001
Diametro4""
Capacità⦰ 2,4 x 6 m
Compatibilità35∼50 cc",
,,,,,,,
,,,,,,,
Rotoli catena Shindaiwa (30 mt.),,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/lame-e-catene/rotoli-catena-shindaiwa-30-mt,,
,,,,,,,
TESTINA SPEED FEED 375,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/testine-a-filo/ska7889011001,"CodiceSKA7889011001
Diametro4""
Capacità⦰ 2,4 x 3 m
Compatibilità20∼30 cc",
Maglie di giunzione per rotoli catena Shindaiwa,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/lame-e-catene/maglie-di-giunzione-per-rotoli-catena-shindaiwa,,
Lame guida,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/lame-e-catene/lame-guida,,
,,,,,,,
,,,,,,,
,,,,,,,
Catene confezionate Shindaiwa,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/lame-e-catene/catene-confezionate-echo,,
kit lama-catena Shindaiwa,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/lame-e-catene/kit-lama-catena-shindaiwa,,
,,,,,,,
,,,,,,,
Lame guida marchiate Shindaiwa,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/lame-e-catene/lame-guida-marchiate-shindaiwa,,
EC741S,"1486,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/altre-macchine/mototroncatrice/ec7600-14,"Cilindrata (cc)73,3
Potenza (kw/CV)3.2/4,35
Peso a secco*1 (Kg.)10.7
Capacità serbatoio MIX (ml)700
Interno disco (mm)20",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
B410TS,"912,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/decespugliatori/decespugliatori-standard/b410ts,"Cilindrata (cc)41.5
Potenza (kw/CV)1,8/2,45
Capacità serbatoio MIX (ml)690
Peso a secco*1 (Kg.)8,7",
T410TS,"839,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/decespugliatori/decespugliatori-standard/t410ts,"Cilindrata (cc)41.5
Potenza (kw/CV)1,8/2,45
Capacità serbatoio MIX (ml)690
Peso a secco*1 (Kg.)8",
T361T,"726,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/decespugliatori/decespugliatori-standard/t360t,"Cilindrata (cc)36.3
Potenza (Kw/CV)1.4/1.9
Serbatoio mix (ml)850
Peso a secco*1 (Kg)6.1",
C361T,"784,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/decespugliatori/decespugliatori-standard/c360t,"Cilindrata (cc)36.3
Potenza (Kw/CV)1.4/1.9
Serbatoio mix (ml)850
Peso a secco*1 (Kg)6,3",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
C303TS,"708,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/decespugliatori/decespugliatori-standard/c302ts,"Cilindrata (cc)30,5
Potenza (kw/CV)1,3/1,77
Peso a secco*1 (Kg.)6,0",
T281TS,"409,00**",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/decespugliatori/decespugliatori-standard/t280ts,"Cilindrata (cc)28.1
Potenza (kw/CV)0,9/1,22
Peso a secco*1 (Kg.)5,8
Capacità serbatoio MIX (ml)610",
T303TS,"647,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/decespugliatori/decespugliatori-standard/t302ts,"Cilindrata (cc)30.5
Potenza (Kw/CV)1.3/1.77
Serbatoio mix (ml)710
Peso a secco*1 (Kg)5,8",
,,,,,,,
T263TXS,"538,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/decespugliatori/decespugliatori-standard/t262txs,"Cilindrata (cc)25.4
Potenza (kw/CV)1/1,36
Peso a secco*1 (Kg.)5,6
Capacità serbatoio MIX (ml)600",
,,,,,,,
,,,,,,,
T252,"309,00**",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/decespugliatori/decespugliatori-standard/t251,"Cilindrata (cc)25,4
Potenza (kw/CV)0,9/1,22
Peso a secco*1 (Kg.)5,3",
ATTACCO POTATORE,"283,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/altre-macchine/macchina-multifunzione/attacco-potatore,,
T226S,"239,00**",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/decespugliatori/decespugliatori-standard/t226s,"Cilindrata (cc)21.2
Potenza (kw/CV)0,71/0,95
Peso a secco*1 (Kg.)4,5
Capacità serbatoio MIX (ml)400",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ATTACCO TAGLIASIEPI CORTO,"438,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/altre-macchine/macchina-multifunzione/attacco-tosasiepi-corto,,
ATTACCO TESTINA A FILO,"173,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/altre-macchine/macchina-multifunzione/attacco-testina-a-filo,,
ATTACCO TAGLIASIEPI,"474,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/altre-macchine/macchina-multifunzione/attacco-tosasiepi,,
M262S,"485,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/altre-macchine/macchina-multifunzione/m262s,"Cilindrata (cc)25,4
Potenza (Kw/CV)1,0/1,36
Peso a secco*1 (kg)4,8
Capacitò serbatoio MIX (ml)600
Lunghezza (mm)1.038",
,,,,,,,
,,,,,,,
,,,,,,,
DH202,"409,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/tosasiepi/tosasiepi-a-doppia-lama/dh202,"Cilindrata (cc)21.2
Potenza (kw/CV)0,6/0,82
Peso a secco*1 (Kg.)4.6
Capacità serbatoio MIX (ml)390
Lunghezza lama (mm)534
Tipo lamarinforzata, movimento reciproco, taglio doppio",
BP510S,"967,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/decespugliatori/decespugliatori-a-zaino/bp510s,"Cilindrata (cc)50.2
Potenza (kw/CV)2,16/2,94
Capacità serbatoio MIX (ml)1000
Peso a secco*1 (Kg.)12",
,,,,,,,
AH262SHD,"766,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/tosasiepi/tosasiepi-ad-asta/ah262shd,"Cilindrata (cc)25.4
Potenza (Kw/CV)1/1.4
Serbatoio (ml)600
Lunghezza tot. asta (mm)2440
Lunghezza (mm)536
Peso a secco (Kg)6.5
Velocità di taglio (tagli/min)5000",
AH236SLW,"684,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/tosasiepi/tosasiepi-ad-asta/ah236slw-1,"Cilindrata (cc)21.2
Potenza (Kw/CV)0.7/0.95
Serbatoio mix (ml)440
Lunghezza tot. asta (mm)2407
Lunghezza lama (mm)519
Peso a secco (Kg)6.2
Velocità di taglio (tagli/min)3900",
,,,,,,,
,,,,,,,
,,,,,,,
AHS236SLW,"666,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/tosasiepi/tosasiepi-ad-asta/ah236slw,"Cilindrata (cc)21.2
Potenza (Kw/CV)0.7/0.95
Serbatoio mix (ml)440
Lunghezza tot. asta (mm)1749
Lunghezza lama (mm)519
Peso a secco (Kg)5.9
Velocità di taglio (tagli/min)3900",
EB810,"965,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/soffiatori/soffiatori-a-zaino/eb810,"Cilindrata (cc)79.9
Potenza (kw/CV)4,2/5,7
Volume aria max*2 (m3/h)1819
Velocità aria max*2 (m/sec)94,5
Forza soffiante (N)44
Peso a secco*1 (Kg)11,9
Capacità serbatoio MIX (ml)2560",
,,,,,,,
EB770,"766,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/soffiatori/soffiatori-a-zaino/eb770,"Cilindrata (cc)63,3
Potenza(kw/CV)3,1/4,2
Volume aria max*2 (m3/h)1.284
Velocità aria max*2 (m/sec)104,6
Forza soffiante (N)33.2
Peso a secco*1 (Kg.)11,3
Capacità serbatoio MIX (ml)2.000",
EB600RT,"629,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/soffiatori/soffiatori-a-zaino/eb600rt,"Cilindrata (cc)58,2
Potenza (kw/CV)2,1/2,86
Volume aria max*2 (m3/h)882
Velocità aria max*2 (m/sec)96,4
Forza soffiante (N)22
Peso a secco*1 (Kg.)10,3",
,,,,,,,
,,,,,,,
341AC,"436,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/motoseghe/motoseghe-multifunzione/341ac,"Cilindrata (cc)34,4
Potenza (Kw/CV)1.5/2.1
Capacità serbatoio mix (ml)280
Capacità serbatoio olio (ml)230
Peso a secco*1 (Kg)3,8
Passo catena3/8""
Canale (mm/pollici)1.3/0.050
Lunghezza barra applicata* (pollici)14",
,,,,,,,
390SX,"605,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/motoseghe/motoseghe-multifunzione/390sx,"Cilindrata (cc)38.4
Potenza (Kw/CV)1.90/2.58
Peso a secco*1 (Kg)4.5
capacità serbatoio MIX (ml)420
Capacità serbatoio olio (ml)215
Passo catena (pollici)0.325
Maglie catena64
Lunghezza barra applicabile* (pollici)15
Canale Barra (mm/pollici)1.3/0.050",
,,,,,,,
305S,"289,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/motoseghe/motoseghe-multifunzione/305s,"Cilindrata (cc)30.5
Potenza (Kw/CV)1.1/1.5
Peso a secco*1 (Kg)4
Capacità serbatoio MIX (ml)250
Capacità serbatoio olio (ml)260
Passo catena (pollici)3/8 b.p.
Maglie catena53
Lunghezza barra applicabile* (pollici)14
Canale Barra (mm/pollici)1.3/0.050",
362WS,"499,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/motoseghe/motoseghe-multifunzione/362ws,"Cilindrata (cc)35.8
Potenza (Kw/CV)1.5/2.04
Peso a secco*1 (Kg)3.8
Capacità serbatoio MIX (ml)320
Capacità serbatoio olio (ml)230
Passo catena (pollici)3/8 b.p.
Maglie catena53
Lunghezza barra applicabile* (pollici)14
Canale Barra (mm/pollici)1.3/0.050",
,,,,,,,
,,,,,,,
431SX,"784,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/motoseghe/motoseghe-multifunzione/431sx,"Cilindrata (cc)42.9
Potenza (Kw/CV)3.1/2.3
Capacità serbatoio mix (ml)400
Capacità serbatoio olio (ml)270
Peso a secco*1 (Kg)4.3
Lunghezza barra applicata* (pollici)16
Passo catena0.325
Canale (mm/pollici)1.3/0.050",
251WS,"547,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/motoseghe/motoseghe-multifunzione/251ws,"Cilindrata (cc)25
Potenza (Kw/CV)1.10/1.50
Peso a secco*1 (Kg)2.6
Capacità serbatoio MIX (ml)190
Capacità serbatoio olio (ml)140
Passo catena (pollici)1/4
Maglie catena60
Lunghezza barra applicabile* (pollici)10
Canale Barra (mm/pollici)1.1/0.043",
,,,,,,,
,,,,,,,
EB262,"419,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/soffiatori/soffiatori-a-mano/eb262,"Cilindrata (cc)25,4
Potenza (Kw/CV)0.9/1.22
Volume aria* (m3/h)774
Velocità aria (m/s)76.7
Forza soffiante (N)15.8
Livello rumorosità Lwa (dB/A)104.9
Serbatoio (ml)600
Peso a secco*1 (kg)4.4",
,,,,,,,
PT262S,"839,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/potatori/potatori-telescopici/pt262s,"Cilindrata (cc)25.4
Potenza (Kw/CV)1/1.4
Peso a secco (Kg)7.5
Capacità serbatoio MIX (ml)600
Capacità serbatoio olio (ml)230
Lunghezza massima (mm)2.720-3.720
Passo catena (pollici)3/8 b.p.
Maglie catena44
Lunghezza barra applicabile (pollici)12”
Canale Barra (mm/pollici)1.3/0.050",
,,,,,,,
EB252,"319,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/soffiatori/soffiatori-a-mano/eb252,"Cilindrata (cc)25.4
Potenza (Kw/CV)0.9/1.22
Volume aria* (m3/h)768
Velocità aria (m/s)76.2
Forza soffiante (N)15.8
Livello rumorosità Lwa (dB/A)106
Serbatoio (ml)550
Peso a secco*1 (kg)3.9",
251TCS,"549,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/motoseghe/motoseghe-potatura/251tcs-1-1,"Cilindrata (cc)25
Potenza (Kw/CV)1.10/1.50
Capacità serbatoio mix (ml)190
Capacità serbatoio olio (ml)140
Peso a secco*1 (Kg)2.3
Lunghezza barra applicata* (pollici)8
Canale barra (mm/pollici)1.1/0.043
Maglie52",
,,,,,,,
,,,,,,,
,,,,,,,
251TS,"499,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/motoseghe/motoseghe-potatura/251ts,"Cilindrata (cc)25
Potenza (Kw/CV)1.10/1.50
Peso a secco*1 (Kg)2.3
Capacità serbatoio MIX (ml)190
Capacità serbatoio olio (ml)140
Passo catena (pollici)3/8 b.p.
Maglie catena40
Lunghezza barra applicabile* (pollici)10
Canale Barra (mm/pollici)1.3/0.050",
,,,,,,,
,,,,,,,
"Protettivo New Extra Synt-Lt. 5,0",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/protettivo-new-extra-synt-lt-5-0,,
"Protettivo New Extra Synt-Lt. 2,0",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/protettivo-new-extra-synt-lt-2-0,,
Protettivo New Extra Synt-Lt. 25,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/protettivo-new-extra-synt-lt-25,,
Protettivo New Extra Synt-Lt. 208,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/protettivo-new-extra-synt-lt-208,,
,,,,,,,
,,,,,,,
Pro Up-Lt. 20,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/pro-up-lt-25,,
Pro Up-Lt. 209,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/pro-up-lt-209,,
,,,,,,,
,,,,,,,
"Pro Up-Lt. 5,0",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/pro-up-lt-5-0,,
"Pro Up-Lt. 2,0",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/pro-up-lt-2-0,,
,,,,,,,
,,,,,,,
SKA20020P1,"12,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/altri-accessori/pro-up-grasso,"Quantità200 g
Confezione20 pz.",
,,,,,,,
SKA15100P1,"4,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/altri-accessori/grasso-polivalente,"Quantità125 ml
Confezione25 pz.",
,,,,,,,
"Addi Mix Dosatore-Lt. 1,0",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/olio-mix/addi-mix-dosatore-lt-1-0,,
"Addi Mix-Lt. 4,0",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/olio-mix/addi-mix-lt-4-0,,
,,,,,,,
,,,,,,,
"Addi Mix-Lt.0,1",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/olio-mix/addi-mix-lt-0-1,,
"Pro Up 2T-Lt. 5,0",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/olio-mix/pro-up-2t-lt-5-0,,
,,,,,,,
,,,,,,,
"Pro Up 2T-Lt. 0,1",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/olio-mix/pro-up-2t-lt-0-1,,
,,,,,,,
,,,,,,,
,,,,,,,
PANTALONE BERMUDA SHINDAIWA,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-casual/skabermuda17,TagliaM-XXL,
PILE CON ZIP SHINDAIWA,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-casual/skapile17,TagliaM-XXL,
GIACCA SOFTSHELL SHINDAIWA,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-casual/ska130141,TagliaM-XXL,
POLO A MANICA CORTA SHINDAIWA,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-casual/skapolomc17,TagliaS-XXL,
,,,,,,,
,,,,,,,
,,,,,,,
POLO A MANICA LUNGA SHINDAIWA,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-casual/skapoloml17,TagliaS-XXL,
PANTALONE TECNICO SHINDAIWA,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-casual/skapant17-m-xxl,TagliaM-XXL,
GUANTI PROTETTIVI DA LAVORO,"17,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-protettivo/ska201701,TagliaM-XL,
,,,,,,,
OCCHIALI PROTETTIVI,"8,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-protettivo/ska1922,TagliaUnica,
,,,,,,,
,,,,,,,
,,,,,,,
CUFFIE PROTETTIVE SHINDAIWA,"9,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-protettivo/ska629,TagliaUnica,
VISIERA CON CUFFIE SHINDAIWA,"49,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-protettivo/ska701331,TagliaUnica,
ZAINO ERGO PRO,"108,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-protettivo/skac06200620,TagliaUnica,
,,,,,,,
MAGLIA TECNICA SHINDAIWA PLUS M/CORTE,"35,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-protettivo/ska130182,TagliaS-XXL,
,,,,,,,
,,,,,,,
,,,,,,,
MAGLIA TECNICA SHINDAIWA PLUS,"55,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-protettivo/ska130181,TagliaS-XXL,
GILET SHINDAIWA PLUS,"69,00**",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-protettivo/ska201110-01-05,TagliaS-XXL,
PANTALONE PROTETTIVO PLUS,"59,00**",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-protettivo/pantalone-protettivo,TagliaM-XL,
,,,,,,,
MANICOTTO ANTITAGLIO,"55,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-antitaglio/ska20163020,TagliaUnica,
,,,,,,,
GUANTI ANTITAGLIO,"38,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-antitaglio/ska201631,Taglia09-11,
,,,,,,,
,,,,,,,
ELMETTO COMPLETO FORESTALE,"66,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-antitaglio/ska01328,TagliaUnica,
GAMBALE ANTITAGLIO,"106,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-antitaglio/ska201630,TagliaM-XXL,
,,,,,,,
PANTALONE ANTITAGLIO CLASSE 1,"177,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-antitaglio/skapc1180,TagliaS-XXL,
,,,,,,,
GIACCA ANTITAGLIO CLASSE 1 PLUS,"210,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-antitaglio/skasg1140-01-05,TagliaS (42-44) / M (46-48) / L (50-52) / XL (54-56) / XXL (58-60),
PANTALONE CLASSE 2 PLUS,"265,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-antitaglio/skasg11,TagliaS (42-44) / M (46-48) / L (50-52) / XL (54-56) / XXL (58-60),
MANICOTTO ANTITAGLIO PLUS,"51,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-antitaglio/manicotto-antitaglio,,
,,,,,,,
,,,,,,,
,,,,,,,
ELMETTO CLIMBING COMPLETO KASK,"192,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-antitaglio/ska701310,Taglia Unica,
,,,,,,,
,,,,,,,
,,,,,,,
PANTALONE ANTITAGLIO PLUS CLASSE 1,"390,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-antitaglio/skasg1110-00-05,"TaglieXS-XXL
CertificazioniEN381-5 Tipo A
Peso (kg)1,35 (Taglia L)",
ELMETTO SHINDAIWA KASK,"99,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-antitaglio/ska701300,TagliaUnica,
,,,,,,,
,,,,,,,
,,,,,,,
